icao,regid,mdl,type,operator
342617,ec-jxm,pc12,Pilatus PC-12/45,Private owner
342619,ec-kgi,at75,ATR 72-500,Binter Canarias
34261a,ec-kgj,at75,ATR 72-500,Binter Canarias
34264a,ec-kks,a319,Airbus A319-111,Iberia
34264c,ec-jxc,c500,Cessna 500 Citation 1,"Airnor Aeronaves del Noroeste,"
342653,ec-khp,c55b,Cessna 550 Citation Bravo,Gestair
34268d,ec-kiz,at72,ATR 72-202,Swiftair
342694,d.4-05,cn35,,
342aa7,p4-mdi,md83,McDonnell Douglas MD-83,Swiftair
342f99,ec-jod,crj2,Canadair CRJ-200,Air Nostrum
343045,ec-kkt,a320,Airbus A320-214,Vueling
343046,ec-klb,a320,Airbus A320-214,Vueling
34304a,ec-kgx,c501,Cessna 501 Citation 1/SP,Private owner
34304d,d.3b-7,c212,,
34304f,ec-kjq,b350,Beech 300 Super King Air 350,Private owner
34308f,ec-klr,b733,Boeing 737-3Q8,Swiftair
343096,ec-kko,c55b,Cessna 550 Citation Bravo,Private owner
3430c1,ec-klc,a139,AgustaWestland AW139,Private owner
3430c3,ec-kmd,a319,Airbus A319-111,Iberia
3430c4,ec-koy,a319,Airbus A319-111,Iberia
3430ca,ec-klv,a139,AgustaWestland AW139,Spanish Maritime Safety Agency
3430cc,ec-klt,a320,Airbus A320-216,Vueling
3430cd,ec-kmi,a320,Airbus A320-216,Vueling
343104,ec-isv,dhc6,De Havilland DHC-6-200 Twin Ot,JIP Aviation
343107,ec-knp,be20,Beech B200 Super King Air,Air Taxi and Charter Internati
34310d,ec-kld,b752,Boeing 757-236,Cygnus Air
343114,ec-kvy,ec35,Eurocopter EC135 P2+,Policia Nacional
343141,ec-koh,a320,Airbus A320-214,Iberia Express
343147,ec-kom,a332,Airbus A330-202,Air Europa
343148,ec-ktg,a332,Airbus A330-203,Air Europa
34314b,ec-402,a400,Airbus A400M,Airbus Military
34314c,ec-404,a400,Airbus A400M,Airbus Military
343154,ec-kkh,sr20,Cirrus SR20,Private Owner
343158,ec-knc,c172,Cessna 172R Skyhawk,Gestair
343159,ec-lhc,ea50,Eclipse EA500,Jet Ready Europe
343185,ec-kog,c172,Cessna 172R Skyhawk,Gestair Flying Academy
34318c,ec-kop,c182,Cessna 182T Skylane,Aero Club Barcelona-Sabadell
343192,ec-kuk,da42,Diamond DA42 Twin Star,Private owner
343193,ec-kqu,da42,Diamond DA42 Twin Star,Private owner
343194,ec-krh,a320,Airbus A320-214,Vueling
343196,ec-kvd,b733,Boeing 737-306F,Swiftair
3431c3,ec-kqc,b744,Boeing 747-412,Saudi Arabian Airlines
3431da,ec-kxe,ec35,Eurocopter EC-635 P2+,Spanish National Police
343202,ec-ksm,b744,Boeing 747-412,Wamos Air
343208,ec-kry,at75,ATR 72-500,Binter Canarias
343209,ec-ksg,at75,ATR 72-500,Binter Canarias
34320d,ec-krj,e195,Embraer ERJ-195,Air Europa
343212,ec-kst,sr22,Cirrus SR22,Private owner
343214,ec-kss,e145,Embraer ERJ-145MP,Air Europa
34324e,ec-kub,a319,Airbus A319-111,Iberia
34324f,ec-lei,a319,Airbus A319-111,Iberia
343281,ec-kts,as65,Eurocopter AS365N3 Dauphin 2,EspaÃ±a-Secretaria General del
343282,ec-kul,at75,ATR 72-500,Swiftair
343295,ec-emz,pc6t,Pilatus PC6/B2-H2,Private owner
3432c1,ec-kxe,ec35,Eurocopter EC-635 P2+,Spanish National Police
3432c2,ec-ldf,ec35,Eurocopter EC135 T2+,DGT-Direccion General de Trafi
3432c5,ec-kvi,at75,ATR 72-500,Swiftair
3432d6,ec-kxd,e195,Embraer ERJ-195,Air Europa
3432d7,ec-kxn,b744,Boeing 747-4H6,Pullmantur Air
343315,ec-leu,a346,Airbus A340-642,Iberia
343347,ec-kyo,e195,Embraer ERJ-195,Air Europa
06a136,a7-bat,b77w,Boeing 777-3DZ,Qatar Airways
380d1a,f-wwcy,a332,Airbus A330-,Airbus
380d3a,f-wwcz,a332,Airbus A330-,Airbus
380d5a,f-wwbb,a320,Airbus A320,Airbus
380d7a,f-wwbc,a320,Airbus A320,Airbus
380d9a,f-wwbd,a320,Airbus A320,Airbus
380dba,f-wwbf,a320,Airbus A320,Airbus
380dda,f-wwbg,a320,Airbus A320,Airbus
380dfa,f-wwbh,a320,Airbus A320,Airbus
380e1a,f-wwbi,a320,Airbus A320,Airbus
380e3a,f-wwbj,a320,Airbus A320,Airbus
380e7a,f-wwbm,a320,Airbus A320,Airbus
380eba,f-wwbo,a320,Airbus A320,Airbus
380eda,f-wwbp,a320,Airbus A320,Airbus
380efa,f-wwbq,a320,Airbus A320,Airbus
380f1a,f-wwbr,a320,Airbus A320,Airbus
380f3a,f-wwbs,a320,Airbus A320,Airbus
380f5a,f-wwbt,a320,Airbus A320,Airbus
380f7a,f-wwbu,a320,Airbus A320,Airbus
380f9a,f-wwbv,a320,Airbus A320,Airbus
380fba,f-wwbx,a320,Airbus A320,Airbus
380fda,f-wwby,a320,Airbus A320,Airbus
380ffa,f-wwbz,a320,Airbus A320,Airbus
38103a,f-wwdc,a320,Airbus A320,Airbus
38105a,f-wwdd,a388,Airbus A380-841,Airbus
38107a,f-wwde,a320,Airbus A320-,Airbus
38109a,f-wwdf,a320,Airbus A320,Airbus
3810ba,f-wwdg,a320,Airbus A320,Airbus
3810da,f-wwdh,a320,Airbus A320,Airbus
3810fa,f-wwdi,a320,Airbus A320,Airbus
38111a,f-wwdj,a320,Airbus A320,Airbus
38113a,f-wwdk,a320,Airbus A320,Airbus
38115a,f-wwdl,a320,Airbus A320,Airbus
38117a,f-wwdm,a320,Airbus A320,Airbus
38119a,f-wwdn,a320,Airbus A320,Airbus
3811ba,f-wwdo,a320,Airbus A320,Airbus
3811da,f-wwdp,a320,Airbus A320,Airbus
3811fa,f-wwdq,a320,Airbus A320,Airbus
38121a,f-wwdr,a320,Airbus A320,Airbus
38123a,f-wwds,a320,Airbus A320,Airbus
38125a,f-wwdt,a320,Airbus A320,Airbus
38127a,f-wwdu,a320,Airbus A320,Airbus
38129a,f-wwdv,a320,Airbus A320,Airbus
3812ba,f-wwdx,a320,Airbus A320,Airbus
3812da,f-wwdy,a320,Airbus A320,Airbus
3812fa,f-wwdz,a320,Airbus A320,Airbus
38131a,f-wwie,a320,Airbus A320,Airbus
38133a,f-wwif,a320,Airbus A320,Airbus
38135a,f-wwig,a320,Airbus A320,Airbus
38137a,f-wwih,a320,Airbus A320,Airbus
3813ba,f-wwij,a320,Airbus A320,Airbus
3813da,f-wwik,a320,Airbus A320,Airbus
3813fa,f-wwil,a320,Airbus A320,Airbus
38141a,f-wwim,a320,Airbus A320,Airbus
38143a,f-wwin,a320,Airbus A320,Airbus
38145a,f-wwio,a320,Airbus A320,Airbus
38147a,f-wwip,a320,Airbus A320,Airbus
38149a,f-wwiq,a320,Airbus A320,Airbus
3814ba,f-wwir,a320,Airbus A320,Airbus
3814da,f-wwis,a320,Airbus A320,Airbus
3814fa,f-wwit,a320,Airbus A320,Airbus
38153a,f-wwiv,a320,Airbus A320,Airbus
38155a,f-wwix,a320,Airbus A320,Airbus
38157a,f-wwiy,a320,Airbus A320,Airbus
38159a,f-wwiz,a320,Airbus A320,Airbus
3815ba,f-wwbe,a320,Airbus A320,Airbus
3815da,f-wwez,at76,ATR 72-600,Aerospatiale Test
38161a,f-wweb,at76,ATR 72-600,Aerospatiale Test
38163a,f-wwec,at76,ATR 72-600,Aerospatiale Test
38165a,f-wwed,at76,ATR 72-600,Aerospatiale Test
38167a,f-wwee,at76,ATR 72-600,Aerospatiale Test
38169a,f-wwef,at76,ATR 72-600,Aerospatiale Test
3816ba,f-wweg,at76,ATR 72-600,Aerospatiale Test
3816da,f-wweh,at76,ATR 72-600,Aerospatiale Test
3816fa,f-wwei,at76,ATR 72-600,Aerospatiale Test
38171a,f-wwej,at76,ATR 72-600,Aerospatiale Test
38173a,f-wwek,at76,ATR 72-600,Aerospatiale Test
38175a,f-wwel,at76,ATR 72-600,Aerospatiale Test
38177a,f-wwem,at76,ATR 72-600,Aerospatiale Test
38179a,f-wwen,at76,ATR 72-600,Aerospatiale Test
3817da,f-wwep,at76,ATR 72-600,Aerospatiale Test
3817fa,f-wweq,at76,ATR 72-600,Aerospatiale Test
38181a,f-wwer,at76,ATR 72-600,Aerospatiale Test
38183a,f-wwes,at76,ATR 72-600,Aerospatiale Test
38185a,f-wwet,at76,ATR 72-600,Aerospatiale Test
38187a,f-wweu,at76,ATR 72-600,Aerospatiale Test
38189a,f-wwev,at76,ATR 72-600,Aerospatiale Test
3818ba,f-wwew,at76,ATR 72-600,Aerospatiale Test
3818da,f-wwex,at76,ATR 72-600,Aerospatiale Test
38193a,f-wwlb,at46,ATR 42-600,Aerospatiale Test
3819da,f-wwlg,at46,ATR 42-600,Aerospatiale Test
381a1a,f-wwli,at46,ATR 42-600,Aerospatiale Test
381b9b,ec-idg,at43,ATR 42-300,Let's Fly
381c1a,f-wwly,at46,ATR 42-600,Aerospatiale Test
381e6f,f-bhtp,d11,Amateur Jodel D-112,Private owner
38203b,mm62251,at45,ATR 42-500MP,Italy - Guardia di Finanza
3827da,f-wwya,a332,Airbus A330,Airbus
3827fa,f-wwyb,a359,Airbus A350-941,Airbus
38281a,f-wwyc,a332,Airbus A330,Airbus
382821,f-bkbb,c182,Cessna 182E Skylane,Private owner
38287a,f-wwyf,a332,Airbus A330,Airbus
38289a,f-wwyg,a332,Airbus A330,Airbus
3828ba,f-wwyh,a332,Airbus A330,Airbus
3828fa,f-wwyi,a332,Airbus A330,Airbus
38291a,f-wwyj,a332,Airbus A330,Airbus
38295a,f-wwyl,a332,Airbus A330,Airbus
38297a,f-wwym,a332,Airbus A330,Airbus
38299a,f-wwyn,a332,Airbus A330-,Airbus
3829da,f-wwyp,a332,Airbus A330,Airbus
3829fa,f-wwyq,a332,Airbus A330,Airbus
382a1a,f-wwyr,a332,Airbus A330,Airbus
382a7a,f-wwyu,a332,Airbus A330,Airbus
382c81,f-bleb,pa27,Piper PA-23-250 Aztec,METEO France CNRM
382c82,f-blec,c182,Cessna 182F Skylane,Private owner
382d3a,f-wwom,ec75,Eurocopter EC175,
382dfa,various,ec25,,
382e1a,f-wwot,ec25,Eurocopter EC225LP Super Puma,Airbus Helicopters Test Flight
382e3a,f-wwou,e225,Eurocopter EC-225,Japan Fire Brigade
383038,f-bmby,d140,Jodel D-140C,Private owner
383500,f-bnia,m20p,Mooney M-20R,Private owner
383525,f-bnjf,d250,Jodel DR-250-160 Ambassadeur,Private owner
38355d,f-jvvt,shrk,Shark Aero,Private owner
38359a,f-wwtj,a330,Airbus A330-,Airbus
3835ba,f-wwtk,a320,Airbus A330,Airbus
3835c8,f-bnoi,be33,Beech 35-C33A Bonanza,Private owner
3835da,f-wwtl,a320,Airbus A330-243,Airbus
3835fa,f-wwtm,a320,Airbus A330-,Airbus
383602,f-bnqc,gy80,Gardan GY80-180,Private owner
38360b,f-bnql,gy80,Gardan GY80-160 Horizon,Private owner
383617,f-bnqx,gy80,Gardan GY-80-180 Horizon,Private owner
38361a,f-wwtn,a320,Airbus A330,Airbus
38363a,f-wwto,a320,Airbus A330,Airbus
38365a,f-wwtp,a320,Airbus A330-,Airbus
38367a,f-wwtq,a320,Airbus A330-,Airbus
38369a,f-wwtr,a320,Airbus A330,Airbus
3836a2,f-bnvc,d250,Jodel DR-250-160 Ambassadeur,Private owner
3836ba,f-wwts,a320,Airbus A330-,Airbus
38379a,f-wwss,a388,Airbus A380,Airbus
3837ba,f-wwst,a388,Airbus A380-8,Airbus
383825,f-bobf,wa40,Wassmer WA-40A,Private owner
3839fb,f-pajm,rv8,Amateur Vans RV-8,Private owner
383a48,f-bosi,be35,Beech V35 Bonanza,Private owner
383b2c,f-bozm,d253,Jodel DR-253 Regent,Private owner
383b3a,f-wwrb,tbm9,Socata TBM-850,Private owner
383b7a,f-wwrd,tbm9,Socata TBM-850,EADS SOCATA SA
383b9a,f-wwre,tbm9,Socata TBM-700N,Private owner
383c1a,f-wwri,tbm9,SOCATA 	TBM-700 C2,DAHER-SOCATA
383c9a,f-wwrm,tbm9,Socata 900,
383cb7,f-bpfx,p28r,Piper PA-28R-180,Private owner
383d02,f-bpic,pa30,Piper PA30 Turbo Twin Comanche,Private owner
383d05,f-bpif,pa18,Piper L-18C Super Cub,Private owner
383d0a,f-bpik,pa30,Piper PA30 Twin Comanche,Private owner
383d11,f-bpir,pa30,Piper PA-30,Private owner
383d14,f-bpiu,c182,Cessna T182T Turbo Skyline,Private owner
383e28,f-bpri,dr30,Pierre Robin DR-315,Private owner
383e6e,f-bpto,wa40,Wassmer WA 4/21-250,Private owner
383e7a,f-wwow,a388,Airbus A380-841,Airbus
383efa,f-wwse,a388,Airbus A380,Airbus
383f3a,f-wwsg,a388,Airbus A380,Airbus
383f9a,f-wwsj,a388,Airbus A380,Airbus
383fba,f-wwsk,a388,Airbus A380,Airbus
383fda,f-wwsl,a388,Airbus A380-8,Airbus
383ffa,f-wwsm,a388,Airbus A380,Airbus
38403a,f-wwso,a388,Airbus A380,Airbus
38407a,f-wwsa,a388,Airbus A380-8,Airbus
3840ba,f-wwsv,a388,Airbus A380,Airbus
3840da,f-wwsx,a388,Airbus A380,Airbus
3840fa,f-wwsy,a388,Airbus A380,Airbus
38413a,f-wwsb,a388,Airbus A380-,Airbus
3842db,f-phot,mcr1,Dyn'Aero MCR-01,
38440a,f-brak,be55,Beech 95-B55 Baron,Private owner
384461,f-brdb,rall,Socata MS-892A Commodore 150,Private owner
38460d,f-brqn,pa18,Piper	PA-18-150 Super Cub,Private owner
3846a7,f-brvh,dr22,Centre Est 	Dauphin,Private owner
3847bb,f-azjv,dhc1,DHC-1 Chipmunk T.20,Private owner
38485a,ec-406,a400,Airbus A400M,Airbus Military
384880,f-bsea,be33,Beech E33A Bonanza,Trimaille Aero Formation
3848da,f-wwqa,fa8x,Dassault Falcon 8X,Dassault Aviation
3849ac,f-bsnm,wa51,Wassmer WA-51A Pacific,Private owner
384a24,f-bsre,c414,Cessna 414,Private owner
384ab4,f-bsvu,rall,Socata MS-893A Rallye Commodor,Private owner
384c6d,f-btdn,cp10,Mudry CAP-10B,Private owner
384d74,f-btlu,ce43,Cerva CE-43 Guepard,Aero Club D'Ouest Parisien
384f12,f-btys,be33,Beech 	F33A Bonanza,Private owner
384f39,f-btzz,dr40,Pierre-Robin DR-400-160,Private owner
385091,f-buer,c172,Cessna 172S Skyhawk SP,Private owner
385093,f-buet,c172,Cessna Reims F172M Skyhawk,Private owner
3850bb,f-pnjl,lnp4,Lancair,Private owner
385180,f-buma,c150,Cessna 150,Private owner
3851c9,f-buoj,p28a,Piper PA-28-180 Cherokee Chall,Private owner
3851e0,f-bupa,dr40,Pierre-Robin DR-400-120,Tours Aero Club
385234,f-buru,c77r,Cessna F177RG Cardinal RG,Private owner
385247,f-bush,dr40,Pierre-Robin DR-400-140,Private owner
385428,f-bvbi,c172,Reims F172M,Private owner
3854b9,f-bvfz,m20p,Mooney M-20E,Private owner
385503,f-bvid,c172,Reims-Cessna F172M Skyhawk,Private owner
385509,f-bvij,c77r,Reims-Cessna F177RG Cardinal R,Private owner
385512,f-bvis,c172,Reims-Cessna FR172J Hawk XP,Private owner
385518,f-bviy,c177,Cessna FR177RG Cardinal,Private owner
385526,f-bvjg,c337,Cessna 337D Super Skymaster,Private owner
38556d,f-bvln,d253,Jodel DR-253B,Private owner
38557b,f-wmxa,ec25,Eurocopter EC-725 Super Cougar,French Air Force
385582,f-bvmc,dr40,Robin Apex DR-400/140 B,Private owner
385640,f-bvsa,c172,Cessna 	FR172J Reims Rocket,Private owner
385642,f-bvsc,c172,Cessna FR172J Skyhawk,Private owner
38566f,f-bvtp,pa27,Piper PA-23-250 Aztec,Private owner
3856f0,f-bvxq,c172,Reims-Cessna FR172J Hawk XP,Private owner
3856f7,f-bvxx,c172,Reims-Cessna FR172J Hawk XP,Private owner
385705,f-bvyf,dr40,Robin DR400-160,Aero Club de Champagne
3859fb,f-wmxb,ec75,Eurocopter EC-175,Airbus Helicopters
385bfb,f-wkvg,at76,ATR 72-600,ATR
385c1b,f-wkvh,at76,ATR 72-600,ATR
385c5b,f-wkvj,at76,ATR 72-600,ATR
385cbb,vt-all,at42,ATR 42-600,Air India Regional cs
385d28,f-bxji,dr40,Robin DR400-180,Aero Club De La Cote Dâor
385d65,f-bxlf,be58,Beech 58 Baron,Dassault Aviation
385d70,f-bxlq,c337,Cessna FT337GP,Private owner
385d79,f-bxlz,pa34,Piper PA-34-200,Private owner
385dec,f-bxpm,p28r,Piper PA-28R-200 Cherokee Arro,Aeroclub La Rochelle
385dee,f-bxpo,c340,Cessna 340A,Private owner
385df7,f-bxpx,pa30,Piper PA-39,Private owner
385e31,f-bxrr,dr40,Pierre-Robin DR-400-140B,Aero Clud de Morestel
385f33,f-bxzt,c172,Reims-Cessna F172M Skyhawk,Aero Club Polygone
38623b,f-pdoe,mcr4,Dyn'Aero MCR-4S 2002,Private owner
38691b,f-pims,mcr4,Dyn'Aero MCR-4S,Private owner
38707b,f-wjkn,a343,Airbus A340-313,Airbus Financial Services
38739b,f-puss,mcr4,Dyn'Aero MCR-4S,Private owner
3876db,f-whuf,a345,Airbus A340-541,Airbus Financial Services
38773b,f-whui,a318,Airbus A318-112,Airbus Industrie
38891b,vnt-769,ec25,Boeing 737-8Q8,ILFC
3889fb,f-paec,rv7,Amateur Vans RV-7,Private owner
388c9b,f-wzfc,a359,Airbus A350-9,Airbus
388d9b,f-wzff,a359,Airbus A350-9,Airbus
388dbb,f-wzfg,a359,Airbus A350-9,Airbus
388ddb,f-wzfh,a359,Airbus A350-9,Airbus
388e3b,f-wzfj,a359,Airbus A350-9,Airbus
388e5b,f-wzfk,a359,Airbus A350-9,Airbus
388e7b,f-wzfl,a359,Airbus A350-9,Airbus
388e9b,f-wzfm,a359,Airbus A350-9,Airbus
388ebb,f-wzfn,a359,Airbus A350-9,Airbus
388edb,f-wzfo,a359,Airbus A350-9,Airbus
388f1b,f-wzfq,a359,Airbus A350-9,Airbus
388f3b,f-wzfr,a359,Airbus A350-9,Airbus
388f5b,f-wzfs,a359,Airbus A350-9,Airbus
38909b,f-wtao,a320,Airbus A320-214,GECAS
38913b,f-pacj,mcr1,Dyn'Aero MCR1 Sportster,Private owner
38991b,f-pbec,f8l,Falco F-8L-BX,Private owner
38a0bb,f-wznw,a359,Airbus A350-941,Airbus
38a3bb,f-pfim,mcr1,Dyn'Aero MCR Sportster,Private owner
38a6fb,f-wxwb,a359,Airbus A350-941,Airbus
38a79b,f-ptro,ulac,Oceanair Tissot Charbonier TC-,Private owner
38ac1b,f-azkm,v10,North American OV-10B Bronco,Private owner
38b01b,f-pvrb,rv8,Amateur Vans RV-8,Private owner
38b0dc,f-jtnd,ulac,Flight Design CTLS,Private owner
38b0fb,f-pgmr,mcr4,Dyn'Aero MCR-4S 2002,Aero Club Pavullo
38b3db,f-wtdd,a320,Airbus	A320-212 ->211,Aeolus Air
38b55b,f-padu,mcr4,Dyn'Aero MCR-4S 2002,Private owner
38b75b,f-plmk,lmk1,Cata LMK-1 Oryx,Private owner
38bc3b,f-phim,glst,Glasair GlaStar GS1,Private owner
38bc5b,f-azxs,p51,North American P-51D Mustang,Private owner
38bd5b,f-prag,cozy,Amateur Rutan Cozy,Private owner
38c0fc,f-jvlq,vl3,Aveko VL-3 Evolution,Private owner
38c53b,f-wneo,a20n,Airbus A320-271N,Airbus
38c6bb,f-azlt,ms76,Morane-Saulnier MS-760A,Private owner
38c75b,f-pcla,mcr4,Dyn'Aero MCR-4S 2002,Private owner
38c79b,f-pcyr,rv7,Amateur Vans RV-7A,Private owner
38cd5b,f-cjdm,dimo,Hoffman HK-36R Super Dimona,Private owner
38cf9b,f-wnov,a310,Airbus A310-304,SA Novespace
38d13b,f-wtds,at76,ATR 72-600,ATR
39000d,f-gaan,p337,Reims-Cessna FT337GP Super Sky,Private owner
390024,f-gabe,dr40,Pierre-Robin DR-400-160,Aero Club de Valence
390083,f-gaed,dr40,Pierre-Robin DR-400-140B,Private owner
3900d8,f-gagy,c172,Reims-Cessna FR172K Hawk Xp,Private owner
39016d,f-galn,be20,Beech 200T Super King Air,Private owner
39016f,f-galp,be20,Beech 200T Super King Air,Private owner
3901cf,f-gaop,dr40,Pierre-Robin DR-400-140,Aero Club Lucien Bossoutrot
3901d7,f-gaox,dr40,Pierre-Robin DR-400-140B,Private owner
3901f9,f-gapz,be36,Beech A36 Bonanza,Private owner
390264,f-gate,p28r,Piper PA-28R-201T Turbo Arrow,Private owner
3902ef,f-gaxp,hr20,Pierre-Robin R-2160,Private owner
390408,f-gbai,dr40,Pierre-Robin DR-400-140B,Aero Club de Granville
390471,f-gbdr,be33,Beech F33A Bonanza,Private owner
39048c,f-gbem,c172,Reims Aviation 	FR172K,Rectimo Air Transports
3904c5,f-gbgf,c210,Cessna 210L Centurion,Private owner
3904eb,f-gbhl,toba,Socata Tobago,Private owner
390500,f-gbia,dr40,Robin DR400-140B,Private owner
390507,f-gbih,dr40,Pierre-Robin DR-400-160,Private owner
390565,f-gblf,be36,Beech A36 Bonanza,Private owner
390590,f-gbmq,as50,Aerospatiale AS350BA,Private owner
3905ea,f-gbpk,pa44,Piper PA-44-180 Seminole,Aeralp
3905eb,f-gbpl,m20t,Mooney M20K,Private owner
390605,f-gbqf,c152,Reims-Cessna F152,Aero Club de Belves Perigord
390669,f-gbtj,p28u,Piper PA-28RT-201T,Private owner
390672,f-gbts,c82s,Cessna T182T Turbo Skylane,Private owner
390689,f-gbuj,dr40,Pierre-Robin DR-400-120,Aero Club de Beziers
390806,f-gcag,r100,Robin R-1180T Aiglon,Private owner
39080b,f-gcal,dr40,Pierre-Robin DR-400-120,Aero Club Beauvais Tille
390838,f-gcby,c172,Cessna 172S Skyhawk SP,Private owner
390888,f-gcei,toba,Socata TB-10 Tobago,Private owner
3908c0,f-gcga,be9l,Beech C90 king Air,Private owner
390909,f-gcij,dr40,Pierre-Robin DR-400-120,Aero Club de Montpellier
390924,f-gcje,pa44,Piper PA-44-180 Seminole,Private
39092a,f-gcjk,p28a,Piper PA-28-181,Private owner
390969,f-gclj,be76,Beech 76 Duchess,Private owner
390974,f-gclu,p28a,Piper PA-28-181,Private owner
3909af,f-gcnp,c152,Cessna Reims F152,Private owner
3909e1,f-gcpb,p28t,Piper PA28RT-201T Turbo Arrow,Private owner
390a00,f-gcqa,c72r,Cessna 172RG Cutlass,Private owner
390a04,f-gcqe,p28a,Piper PA-28-181,Private owner
390a38,f-gcry,dr40,Pierre-Robin DR-400-120,Aero Club du Limousin
390a44,f-gcse,t206,Cessna TU206G,Private owner
390a4c,f-gcsm,c72r,Cessna 172RG Cutlass RG,Aero Club Hispano Suiza
390a55,f-gcsv,p210,Cessna P210N Pressurized Centu,Private owner
390a94,f-gcuu,dr40,Pierre-Robin DR-400-140B,Private owner
390b0b,f-gcyl,c172,Reims-Cessna F172P Skyhawk,Private owner
390c75,f-gddv,c152,Cessna F152,Private owner
390c94,f-gdeu,dr40,Pierre-Robin DR-400-120,Aero Club de Graulhet
390c99,f-gdez,dr40,Pierre-Robin DR-400-120,Private owner
390ccf,f-gdgp,toba,Socata TB-10 Tobago,Private owner
390ce3,f-gdhd,bn2p,Britten-Norman Islander,Aero-Sotravia
390d07,f-gdih,c172,Cessna F172P,Private owner
390d4b,f-gdkl,dr40,Pierre-Robin DR-400-160,Aero Club de Versailles
390d6c,f-gdlm,c82t,Cessna TR182 Turbo Skylane RG,Private owner
390d79,f-gdlz,p28t,Piper PA-28RT-201,Private owner
390da9,f-gdnj,tb20,Socata TB-20 Trinidad,Private owner
390dac,f-gdnm,tb20,Socata TB-20 Trinidad,Private owner
390dad,f-gdnn,tb20,Socata TB-20 Trinidad,ENAC
390daf,f-gdnp,tb20,Socata TB20 Trinidad,Private owner
390db0,f-gdnq,tb20,Socata TB-20 Trinidad,Private owner
390dd8,f-gdoy,c172,Reims-Cessna F172P Skyhawk,Aero Club de Lezignan
391023,f-gebd,be36,Beech A36 Bonanza,Private owner
39102e,f-gebo,c172,Reims-Cessna F172M Skyhawk,Private owner
39104b,f-gecl,m20p,Mooney M20J-201,Private owner
391107,f-geih,dr40,Pierre-Robin DR-400-180,Private owner
391130,f-gejq,p28a,Piper PA-28-181,Private owner
391142,f-gekc,dr40,Pierre-Robin DR-400-120,Private owner
39116c,f-gelm,pa34,Piper PA-34-200T,Private owner
3911a1,f-genb,tb20,Socata TB-20 Trinidad,Private owner
3911b1,f-genr,tb20,Socata TB-20 Trinidad,Private owner
3911ce,f-geoo,pa34,Piper PA-34-220T Seneca V,Private owner
3911d0,f-geoq,p28r,Piper PA-28R-201,Private owner
3911d3,f-geot,c172,Cessna 172S,
3911d4,f-geou,be9l,Beech C90 King Air,Private owner
391262,f-getc,c77r,Reims-Cessna F177RG Cardinal R,Private owner
391266,f-getg,p28t,Piper PA-28RT-201,Private owner
391268,f-geti,be9t,Beech F90 King Air,Private owner
391269,f-getj,be9l,Beech E90 King Air,Private owner
39126a,f-getk,p28a,Piper PA-28-181 Archer 3,Private owner
39126b,f-getl,c77r,Reims-Cessna F177RG Cardinal R,Private owner
3912aa,f-gevk,tb20,Socata TB-20 Trinidad,SEFA
3912ab,f-gevl,tb20,Socata TB-20 Trinidad,ENAC
3912ac,f-gevm,tb20,Socata TB-20 Trinidad,ENAC
3912af,f-gevp,tb20,Socata TB-20 Trinidad,SEFA
3912b0,f-gevq,tb20,SOCATA	TB-20 Trinidad,Private owner
3912b1,f-gevr,tb20,Socata TB-20 Trinidad,ENAC
3912b2,f-gevs,tb20,Socata TB-20 Trinidad,ENAC
3912b4,f-gevu,tb20,Socata TB20 Trinidad,Private owner
3912b5,f-gevv,tb20,SOCATA TB-20 Trinidad,Private owner
3912b7,f-gevx,tb20,SOCATA	TB-20 Trinidad,SEFA
3912b8,f-gevy,tb20,Socata TB-20 Trinidad,ENAC
3912f5,f-gexv,be10,Beech A100 King Air,Phenix Aviation
391414,f-gfau,be58,Beech 58 Baron,Private owner
391446,f-gfcg,c210,Cessna 210N Centurion,Private owner
391462,f-gfdc,pc6t,Pilatus PC-6 Porter,Private owner
39146e,f-gfdo,b06,,
3914f3,f-gfht,c172,Reims Cessna F172N Skyhawk,Private owner
391527,f-gfjh,at43,ATR 42-300,SEFA
391529,f-gfjj,p28a,Piper PA-28-181,Aero Club de Dunkerque
391558,f-gfky,a320,Airbus A320-211,Air France
391562,f-gflc,p28a,Piper PA-28-181,Private owner
39158c,f-gfmm,dr40,Robin DR-400/140B,Private owner
3915ef,f-gfpp,be36,Beech A36 Bonanza,Private owner
391609,f-gfqj,tb20,Socata TB-20 Trinidad,Private owner
39160e,f-gfqo,toba,Socata TB-10 Tobago,Private owner
39166d,f-gftn,p28t,Piper PA-28RT-201T,Private owner
391675,f-gftv,be36,Beech A36 Bonanza,Private owner
391685,f-gfuf,b733,Boeing 737-3B3QC,Europe Airpost
391715,f-gfyv,p28a,Piper PA-28-161,Private owner
391844,f-ggce,p28t,Piper PA28RT-201T,Private owner
3918cd,f-gggn,t210,Cessna T210N,Private owner
3918eb,f-gghl,dr40,Pierre-Robin DR-400-180,Private owner
3918f3,f-gght,dr40,Pierre-Robin DR-400-180,Private owner
39190f,f-ggip,tb20,Socata TB-20 Trinidad,Private owner
39192b,f-ggjl,dr40,Pierre-Robin DR-400-180,Private owner
1501ba,ra-65978,t134,Tupolev Tu-134A-3,Sirius Aero
1501c6,rf-65990,t134,Tupolev Tu-134AK,Russia - Ministry of Internal
1501ca,ra-65994,t134,Tupolev Tu-134A-3,Rossiya - Special Flight Squad
1501cb,ra-65995,t134,Tupolev Tu-134A-3,Rossiya - Special Flight Squad
